,date,KO,isPartial
4,2014-03-05,47.6,False
5,2014-03-06,48.160000000000004,False
6,2014-03-07,48.160000000000004,False
7,2014-03-08,52.64000000000001,False
8,2014-03-09,52.64000000000001,False
9,2014-03-10,45.36000000000001,False
10,2014-03-11,48.720000000000006,False
11,2014-03-12,46.480000000000004,False
12,2014-03-13,47.040000000000006,False
13,2014-03-14,49.28,False
14,2014-03-15,55.440000000000005,False
15,2014-03-16,52.080000000000005,False
16,2014-03-17,46.480000000000004,False
17,2014-03-18,48.720000000000006,False
18,2014-03-19,49.28,False
19,2014-03-20,48.160000000000004,False
20,2014-03-21,49.84,False
21,2014-03-22,56.00000000000001,False
22,2014-03-23,52.080000000000005,False
23,2014-03-24,49.28,False
24,2014-03-25,49.28,False
25,2014-03-26,49.28,False
26,2014-03-27,49.84,False
27,2014-03-28,49.84,False
28,2014-03-29,56.00000000000001,False
29,2014-03-30,52.080000000000005,False
30,2014-03-31,46.480000000000004,False
0,2014-04-01,46.4,False
1,2014-04-02,49.3,False
2,2014-04-03,48.13999999999999,False
3,2014-04-04,49.3,False
4,2014-04-05,56.839999999999996,False
5,2014-04-06,51.62,False
6,2014-04-07,47.559999999999995,False
7,2014-04-08,48.72,False
8,2014-04-09,48.13999999999999,False
9,2014-04-10,49.879999999999995,False
10,2014-04-11,51.04,False
11,2014-04-12,57.419999999999995,False
12,2014-04-13,53.94,False
13,2014-04-14,48.72,False
14,2014-04-15,48.72,False
15,2014-04-16,52.199999999999996,False
16,2014-04-17,53.36,False
17,2014-04-18,56.26,False
18,2014-04-19,57.99999999999999,False
19,2014-04-20,56.839999999999996,False
20,2014-04-21,49.879999999999995,False
21,2014-04-22,49.3,False
22,2014-04-23,49.879999999999995,False
23,2014-04-24,52.199999999999996,False
24,2014-04-25,52.199999999999996,False
25,2014-04-26,57.99999999999999,False
26,2014-04-27,54.519999999999996,False
27,2014-04-28,49.879999999999995,False
28,2014-04-29,49.879999999999995,False
29,2014-04-30,47.559999999999995,False
0,2014-05-01,51.919999999999995,False
1,2014-05-02,48.97,False
2,2014-05-03,53.69,False
3,2014-05-04,51.919999999999995,False
4,2014-05-05,46.61,False
5,2014-05-06,46.61,False
6,2014-05-07,46.61,False
7,2014-05-08,48.379999999999995,False
8,2014-05-09,47.79,False
9,2014-05-10,54.279999999999994,False
10,2014-05-11,51.919999999999995,False
11,2014-05-12,47.79,False
12,2014-05-13,48.379999999999995,False
13,2014-05-14,47.79,False
14,2014-05-15,48.97,False
15,2014-05-16,48.379999999999995,False
