,date,NFLX,isPartial
27,2013-09-28,1.69,False
28,2013-09-29,1.4300000000000002,False
29,2013-09-30,4.68,False
0,2013-10-01,4.62,False
1,2013-10-02,4.95,False
2,2013-10-03,5.94,False
3,2013-10-04,3.96,False
4,2013-10-05,0.66,False
5,2013-10-06,0.99,False
6,2013-10-07,4.29,False
7,2013-10-08,3.96,False
8,2013-10-09,6.2700000000000005,False
9,2013-10-10,6.2700000000000005,False
10,2013-10-11,4.95,False
11,2013-10-12,1.32,False
12,2013-10-13,0.33,False
13,2013-10-14,6.6000000000000005,False
14,2013-10-15,6.6000000000000005,False
15,2013-10-16,4.62,False
16,2013-10-17,5.94,False
17,2013-10-18,6.2700000000000005,False
18,2013-10-19,2.64,False
19,2013-10-20,0.99,False
20,2013-10-21,23.43,False
21,2013-10-22,33.0,False
22,2013-10-23,18.810000000000002,False
23,2013-10-24,10.23,False
24,2013-10-25,6.930000000000001,False
25,2013-10-26,1.32,False
26,2013-10-27,1.98,False
27,2013-10-28,5.28,False
28,2013-10-29,8.25,False
29,2013-10-30,5.94,False
30,2013-10-31,4.62,False
0,2013-11-01,12.0,False
1,2013-11-02,3.3,False
2,2013-11-03,3.75,False
3,2013-11-04,10.5,False
4,2013-11-05,12.75,False
5,2013-11-06,12.15,False
6,2013-11-07,15.0,False
7,2013-11-08,11.25,False
8,2013-11-09,2.1,False
9,2013-11-10,2.1,False
10,2013-11-11,8.4,False
11,2013-11-12,12.45,False
12,2013-11-13,10.2,False
13,2013-11-14,9.6,False
14,2013-11-15,9.299999999999999,False
15,2013-11-16,3.0,False
16,2013-11-17,1.5,False
17,2013-11-18,8.4,False
18,2013-11-19,8.25,False
19,2013-11-20,9.75,False
20,2013-11-21,7.5,False
21,2013-11-22,9.15,False
22,2013-11-23,4.05,False
23,2013-11-24,1.7999999999999998,False
24,2013-11-25,4.35,False
25,2013-11-26,8.7,False
26,2013-11-27,7.05,False
27,2013-11-28,3.15,False
28,2013-11-29,5.85,False
29,2013-11-30,3.0,False
0,2013-12-01,1.7999999999999998,False
1,2013-12-02,8.64,False
2,2013-12-03,7.08,False
3,2013-12-04,6.96,False
4,2013-12-05,7.56,False
5,2013-12-06,9.84,False
6,2013-12-07,1.08,False
7,2013-12-08,1.3199999999999998,False
8,2013-12-09,8.16,False
9,2013-12-10,6.72,False
10,2013-12-11,6.84,False
