,date,AMZN,isPartial
27,2013-05-28,3.3,False
28,2013-05-29,4.32,False
29,2013-05-30,3.12,False
30,2013-05-31,2.28,False
0,2013-06-01,1.3,False
1,2013-06-02,0.8500000000000001,False
2,2013-06-03,2.6500000000000004,False
3,2013-06-04,3.1500000000000004,False
4,2013-06-05,4.05,False
5,2013-06-06,2.35,False
6,2013-06-07,5.0,False
7,2013-06-08,2.4000000000000004,False
8,2013-06-09,1.3,False
9,2013-06-10,3.3000000000000003,False
10,2013-06-11,4.0,False
11,2013-06-12,2.3000000000000003,False
12,2013-06-13,3.25,False
13,2013-06-14,2.6500000000000004,False
14,2013-06-15,1.35,False
15,2013-06-16,0.65,False
16,2013-06-17,2.7,False
17,2013-06-18,3.2,False
18,2013-06-19,4.3,False
19,2013-06-20,3.25,False
20,2013-06-21,4.4,False
21,2013-06-22,0.9,False
22,2013-06-23,0.65,False
23,2013-06-24,2.5,False
24,2013-06-25,2.85,False
25,2013-06-26,2.15,False
26,2013-06-27,2.7,False
27,2013-06-28,2.1,False
28,2013-06-29,2.25,False
29,2013-06-30,0.45,False
0,2013-07-01,2.34,False
1,2013-07-02,1.71,False
2,2013-07-03,2.4299999999999997,False
3,2013-07-04,0.44999999999999996,False
4,2013-07-05,1.53,False
5,2013-07-06,1.44,False
6,2013-07-07,0.8999999999999999,False
7,2013-07-08,2.07,False
8,2013-07-09,2.25,False
9,2013-07-10,2.79,False
10,2013-07-11,4.5,False
11,2013-07-12,5.31,False
12,2013-07-13,1.98,False
13,2013-07-14,1.98,False
14,2013-07-15,3.5999999999999996,False
15,2013-07-16,3.15,False
16,2013-07-17,3.42,False
17,2013-07-18,2.9699999999999998,False
18,2013-07-19,3.33,False
19,2013-07-20,0.8999999999999999,False
20,2013-07-21,0.54,False
21,2013-07-22,2.34,False
22,2013-07-23,1.71,False
23,2013-07-24,2.25,False
24,2013-07-25,9.0,False
25,2013-07-26,8.37,False
26,2013-07-27,2.16,False
27,2013-07-28,1.44,False
28,2013-07-29,4.2299999999999995,False
29,2013-07-30,3.42,False
30,2013-07-31,2.79,False
0,2013-08-01,3.96,False
1,2013-08-02,2.88,False
2,2013-08-03,1.5,False
3,2013-08-04,1.44,False
4,2013-08-05,4.5,False
5,2013-08-06,6.0,False
6,2013-08-07,4.74,False
7,2013-08-08,3.06,False
8,2013-08-09,3.06,False
9,2013-08-10,1.44,False
10,2013-08-11,0.78,False
11,2013-08-12,2.6399999999999997,False
12,2013-08-13,3.3,False
13,2013-08-14,3.48,False
14,2013-08-15,3.1799999999999997,False
15,2013-08-16,4.62,False
16,2013-08-17,1.68,False
17,2013-08-18,0.8999999999999999,False
18,2013-08-19,3.2399999999999998,False
19,2013-08-20,3.3,False
20,2013-08-21,2.46,False
21,2013-08-22,3.12,False
22,2013-08-23,3.06,False
23,2013-08-24,0.8999999999999999,False
24,2013-08-25,1.26,False
25,2013-08-26,2.46,False
26,2013-08-27,3.84,False
27,2013-08-28,3.12,False
28,2013-08-29,2.16,False
29,2013-08-30,2.04,False
30,2013-08-31,0.96,False
0,2013-09-01,0.18,False
1,2013-09-02,1.7999999999999998,False
2,2013-09-03,4.26,False
3,2013-09-04,2.88,False
4,2013-09-05,4.32,False
5,2013-09-06,3.36,False
6,2013-09-07,0.96,False
7,2013-09-08,1.5,False
8,2013-09-09,3.48,False
9,2013-09-10,4.02,False
10,2013-09-11,3.12,False
11,2013-09-12,2.82,False
12,2013-09-13,1.44,False
13,2013-09-14,1.3199999999999998,False
14,2013-09-15,1.26,False
15,2013-09-16,1.68,False
16,2013-09-17,3.3,False
17,2013-09-18,3.48,False
18,2013-09-19,4.62,False
19,2013-09-20,5.04,False
20,2013-09-21,1.8599999999999999,False
21,2013-09-22,1.14,False
22,2013-09-23,3.78,False
23,2013-09-24,3.5999999999999996,False
24,2013-09-25,6.0,False
25,2013-09-26,2.88,False
26,2013-09-27,3.36,False
27,2013-09-28,2.1,False
28,2013-09-29,1.44,False
29,2013-09-30,3.42,False
0,2013-10-01,1.54,False
1,2013-10-02,1.65,False
2,2013-10-03,1.87,False
3,2013-10-04,1.76,False
4,2013-10-05,0.88,False
5,2013-10-06,0.33,False
6,2013-10-07,1.43,False
7,2013-10-08,1.76,False
8,2013-10-09,1.65,False
9,2013-10-10,2.2,False
10,2013-10-11,2.2,False
11,2013-10-12,0.55,False
12,2013-10-13,0.44,False
13,2013-10-14,1.76,False
14,2013-10-15,1.32,False
15,2013-10-16,1.65,False
16,2013-10-17,1.76,False
17,2013-10-18,3.3,False
18,2013-10-19,0.99,False
19,2013-10-20,0.88,False
20,2013-10-21,2.31,False
21,2013-10-22,2.97,False
22,2013-10-23,3.3,False
23,2013-10-24,6.93,False
24,2013-10-25,11.0,False
25,2013-10-26,1.87,False
26,2013-10-27,0.55,False
27,2013-10-28,2.64,False
28,2013-10-29,2.86,False
29,2013-10-30,2.2,False
30,2013-10-31,2.64,False
0,2013-11-01,9.0,False
1,2013-11-02,2.79,False
2,2013-11-03,2.52,False
3,2013-11-04,7.02,False
4,2013-11-05,5.49,False
5,2013-11-06,3.8699999999999997,False
6,2013-11-07,6.569999999999999,False
7,2013-11-08,6.84,False
8,2013-11-09,3.96,False
9,2013-11-10,0.44999999999999996,False
10,2013-11-11,7.38,False
11,2013-11-12,7.29,False
12,2013-11-13,7.56,False
13,2013-11-14,7.92,False
14,2013-11-15,5.9399999999999995,False
15,2013-11-16,3.42,False
16,2013-11-17,2.4299999999999997,False
17,2013-11-18,5.85,False
18,2013-11-19,4.95,False
19,2013-11-20,5.04,False
20,2013-11-21,7.6499999999999995,False
21,2013-11-22,6.12,False
22,2013-11-23,2.07,False
23,2013-11-24,1.53,False
24,2013-11-25,6.84,False
25,2013-11-26,6.3,False
26,2013-11-27,6.21,False
27,2013-11-28,3.96,False
28,2013-11-29,7.6499999999999995,False
29,2013-11-30,2.52,False
0,2013-12-01,1.6,False
1,2013-12-02,10.0,False
2,2013-12-03,6.0,False
3,2013-12-04,4.2,False
4,2013-12-05,2.9000000000000004,False
5,2013-12-06,2.9000000000000004,False
6,2013-12-07,1.4000000000000001,False
7,2013-12-08,1.4000000000000001,False
8,2013-12-09,2.9000000000000004,False
9,2013-12-10,3.7,False
10,2013-12-11,2.7,False
11,2013-12-12,3.6,False
12,2013-12-13,3.6,False
13,2013-12-14,2.0,False
14,2013-12-15,1.0,False
15,2013-12-16,2.9000000000000004,False
16,2013-12-17,3.3000000000000003,False
17,2013-12-18,4.1000000000000005,False
18,2013-12-19,3.6,False
19,2013-12-20,4.7,False
20,2013-12-21,2.5,False
21,2013-12-22,1.0,False
22,2013-12-23,3.7,False
23,2013-12-24,3.3000000000000003,False
24,2013-12-25,1.5,False
25,2013-12-26,4.2,False
26,2013-12-27,4.1000000000000005,False
27,2013-12-28,1.6,False
28,2013-12-29,0.7000000000000001,False
29,2013-12-30,3.3000000000000003,False
30,2013-12-31,4.5,False
0,2014-01-01,0.78,False
1,2014-01-02,1.69,False
2,2014-01-03,2.08,False
3,2014-01-04,1.3,False
4,2014-01-05,0.52,False
5,2014-01-06,1.9500000000000002,False
6,2014-01-07,2.47,False
7,2014-01-08,2.08,False
8,2014-01-09,1.3,False
9,2014-01-10,0.91,False
10,2014-01-11,0.91,False
11,2014-01-12,0.65,False
12,2014-01-13,1.82,False
13,2014-01-14,2.6,False
14,2014-01-15,2.34,False
15,2014-01-16,1.56,False
16,2014-01-17,2.6,False
17,2014-01-18,0.52,False
18,2014-01-19,0.39,False
19,2014-01-20,0.91,False
20,2014-01-21,1.69,False
21,2014-01-22,2.08,False
22,2014-01-23,2.47,False
23,2014-01-24,2.08,False
24,2014-01-25,0.65,False
